model,year,transmission,mileage,engineSize,fuelType,price
 C Class,2020,Automatic,1200,2,Diesel,30495
 C Class,2020,Automatic,1000,1.5,Petrol,29989
 C Class,2020,Automatic,500,2,Diesel,37899
 C Class,2019,Automatic,5000,2,Diesel,30399
 C Class,2019,Automatic,4500,2,Diesel,29899
 C Class,2020,Automatic,1000,2,Diesel,30999
 C Class,2020,Automatic,500,2,Diesel,35999
 C Class,2019,Automatic,1412,3,Petrol,37990
 C Class,2019,Automatic,3569,2,Diesel,28990
 C Class,2019,Automatic,3635,2,Diesel,28990
 C Class,2013,Automatic,44900,1.6,Petrol,9995
 C Class,2012,Automatic,88200,2.1,Diesel,6995
 C Class,2012,Automatic,115000,2.1,Diesel,7495
 C Class,2011,Automatic,69250,2.1,Diesel,8995
 C Class,2015,Automatic,49850,2.1,Diesel,14995
 C Class,2013,Automatic,82685,2.1,Diesel,8595
 C Class,2016,Semi-Auto,32506,2.1,Diesel,19250
 C Class,2017,Semi-Auto,17000,2.1,Diesel,23500
 C Class,2018,Semi-Auto,17744,2,Diesel,24995
 C Class,2016,Semi-Auto,64291,4,Petrol,29995
 C Class,2014,Automatic,41011,2,Petrol,17990
 C Class,2016,Automatic,72000,1.6,Diesel,14477
 C Class,2013,Automatic,72000,2.1,Diesel,10977
 C Class,2016,Automatic,40000,1.6,Diesel,17977
 C Class,2015,Automatic,52000,2.1,Diesel,12790
 C Class,2017,Automatic,66472,2.1,Diesel,14488
 C Class,2011,Manual,91000,2.1,Diesel,7500
 C Class,2013,Automatic,69700,2.1,Diesel,9750
 C Class,2015,Automatic,39000,1.6,Diesel,15995
 C Class,2016,Manual,39287,2.1,Diesel,15675
 C Class,2016,Manual,40569,2.1,Diesel,16475
 C Class,2016,Manual,37419,2,Petrol,15975
 C Class,2016,Automatic,34452,2.1,Diesel,16475
 C Class,2015,Automatic,41567,2.1,Hybrid,15975
 C Class,2015,Automatic,41130,2,Hybrid,16495
 C Class,2017,Automatic,37778,2.1,Diesel,17795
 C Class,2017,Automatic,44325,2.1,Diesel,17875
 C Class,2016,Automatic,45000,2.1,Diesel,14000
 C Class,2017,Automatic,75000,1.6,Diesel,16500
 C Class,2016,Automatic,36000,2.1,Diesel,21000
 C Class,2015,Automatic,64000,2.1,Diesel,15500
 C Class,2013,Manual,106000,2.1,Diesel,7250
 C Class,2015,Automatic,67150,2.1,Diesel,13000
 C Class,2012,Automatic,43426,1.6,Petrol,11000
 C Class,2016,Manual,42622,2.1,Diesel,13300
 C Class,2016,Manual,34903,2.1,Diesel,16000
 C Class,2014,Automatic,35345,2.1,Diesel,12500
 C Class,2015,Manual,23146,2,Petrol,14495
 C Class,2017,Automatic,16000,2.1,Diesel,24500
 C Class,2013,Automatic,44000,6.2,Petrol,23990
 C Class,2015,Automatic,30000,2.1,Diesel,17250
 C Class,2015,Automatic,22000,1.6,Petrol,14200
 C Class,2017,Automatic,19000,2,Petrol,22950
 C Class,2013,Automatic,90000,2.1,Diesel,10500
 C Class,2014,Automatic,32000,2.1,Diesel,15650
 C Class,2015,Automatic,90000,2.1,Diesel,14850
 C Class,2017,Automatic,37000,2.1,Diesel,22400
 C Class,2017,Automatic,23000,2.1,Diesel,19950
 C Class,2014,Automatic,78000,2.1,Diesel,9990
 C Class,2015,Automatic,47000,2.1,Diesel,11990
 C Class,2017,Automatic,18000,2.1,Diesel,20990
 C Class,2015,Automatic,64000,2.1,Diesel,14490
 C Class,2013,Automatic,50000,2.1,Diesel,10490
 C Class,2016,Automatic,65000,2.1,Diesel,15990
 C Class,2016,Automatic,38000,2.1,Diesel,17850
 C Class,2016,Automatic,70000,2.1,Diesel,16450
 C Class,2013,Automatic,69000,2.1,Diesel,11350
 C Class,2014,Automatic,41000,1.6,Petrol,12900
 C Class,2018,Automatic,16250,1.5,Petrol,26000
 C Class,2017,Automatic,30676,2.1,Diesel,22767
 C Class,2015,Automatic,40005,2.1,Diesel,12000
 C Class,2017,Automatic,38000,2,Hybrid,18999
 C Class,2016,Automatic,45000,2.1,Diesel,14000
 C Class,2015,Automatic,40005,2.1,Diesel,12000
 C Class,2009,Automatic,120000,2.1,Diesel,4343
 C Class,2016,Automatic,51936,2.1,Diesel,16500
 C Class,2019,Automatic,4000,2,Diesel,27750
 C Class,2019,Automatic,8500,2,Diesel,28950
 C Class,2007,Automatic,119168,1.8,Petrol,3495
 C Class,2017,Automatic,21800,4,Petrol,59740
 C Class,2019,Automatic,19999,4,Petrol,44990
 C Class,2019,Automatic,1600,4,Petrol,54990
 C Class,2015,Automatic,46221,2.1,Diesel,15995
 C Class,2016,Automatic,45000,2.1,Diesel,14000
 C Class,2015,Automatic,40005,2.1,Diesel,12000
 C Class,2017,Automatic,30676,2.1,Diesel,22767
 C Class,2014,Semi-Auto,52712,2.1,Diesel,12998
 C Class,2017,Semi-Auto,59858,2.1,Diesel,17998
 C Class,2019,Manual,22,1.6,Petrol,28998
 C Class,2017,Semi-Auto,28234,2,Petrol,24998
 C Class,2016,Semi-Auto,22803,2.1,Diesel,19498
 C Class,2018,Semi-Auto,17093,2.1,Diesel,23498
 C Class,2019,Semi-Auto,8150,1.6,Diesel,25498
 C Class,2019,Semi-Auto,9344,2,Diesel,24998
 C Class,2016,Semi-Auto,31891,2,Hybrid,18498
 C Class,2014,Semi-Auto,36243,2.1,Diesel,15498
 C Class,2017,Semi-Auto,33000,2.1,Diesel,20995
 C Class,2018,Semi-Auto,11300,3,Petrol,31995
 C Class,2017,Semi-Auto,32800,2.1,Diesel,23995
 C Class,2014,Automatic,37600,2.1,Diesel,16995
 C Class,2017,Automatic,14000,2,Petrol,24995
 C Class,2014,Semi-Auto,24175,6.2,Petrol,26998
 C Class,2016,Semi-Auto,27968,2.1,Diesel,20498
 C Class,2018,Semi-Auto,9255,2,Diesel,27498
 C Class,2016,Semi-Auto,26973,1.6,Diesel,16998
 C Class,2018,Semi-Auto,12491,2.1,Diesel,27498
 C Class,2019,Semi-Auto,14999,2,Diesel,27698
 C Class,2016,Semi-Auto,37941,3,Petrol,27498
 C Class,2019,Semi-Auto,11301,2,Diesel,32498
 C Class,2019,Semi-Auto,12629,2.1,Diesel,24498
 C Class,2017,Semi-Auto,20981,2.1,Diesel,21498
 C Class,2017,Semi-Auto,23760,2.1,Diesel,18998
 C Class,2014,Semi-Auto,26216,2.1,Diesel,15998
 C Class,2013,Semi-Auto,80485,2.1,Diesel,9298
 C Class,2018,Semi-Auto,18739,2.1,Diesel,22998
 C Class,2016,Manual,53453,2.1,Diesel,12998
 C Class,2016,Semi-Auto,23090,2.1,Diesel,22998
 C Class,2016,Manual,26100,2.1,Diesel,17998
 C Class,2019,Semi-Auto,4285,2,Diesel,28498
 C Class,2016,Semi-Auto,28388,1.6,Diesel,18998
 C Class,2017,Semi-Auto,16902,2.1,Diesel,20998
 C Class,2016,Semi-Auto,31227,2.1,Diesel,21998
 C Class,2015,Manual,24010,1.6,Diesel,13998
 C Class,2019,Semi-Auto,15838,2,Diesel,24498
 C Class,2017,Semi-Auto,17657,2.1,Hybrid,20998
 C Class,2019,Semi-Auto,4977,2,Diesel,30498
 C Class,2016,Semi-Auto,24756,2.1,Diesel,19498
 C Class,2014,Semi-Auto,41416,2.1,Diesel,15298
 C Class,2019,Semi-Auto,3814,1.5,Petrol,33998
 C Class,2019,Semi-Auto,17,1.5,Petrol,32998
 C Class,2016,Semi-Auto,37080,2.1,Diesel,16498
 C Class,2016,Semi-Auto,73582,2.1,Diesel,15498
 C Class,2014,Semi-Auto,23772,2.1,Diesel,15498
 C Class,2017,Semi-Auto,28808,2.1,Diesel,18998
 C Class,2019,Semi-Auto,10000,2,Diesel,24495
 C Class,2016,Semi-Auto,26413,2.1,Diesel,18990
 C Class,2014,Manual,98000,2.1,Diesel,10995
 C Class,2014,Semi-Auto,39920,2.1,Diesel,15698
 C Class,2019,Semi-Auto,10455,1.5,Petrol,22498
 C Class,2016,Semi-Auto,27644,2.1,Diesel,19298
 C Class,2017,Semi-Auto,63916,2,Hybrid,16498
 C Class,2018,Semi-Auto,15383,1.5,Petrol,19998
 C Class,2018,Semi-Auto,21929,2.1,Diesel,20685
 C Class,2018,Semi-Auto,16900,2.1,Diesel,20489
 C Class,2017,Manual,34015,2.1,Diesel,13800
 C Class,2019,Semi-Auto,2000,2,Petrol,31998
 C Class,2019,Semi-Auto,28000,2,Petrol,29998
 C Class,2019,Semi-Auto,22400,1.5,Petrol,24998
 C Class,2019,Semi-Auto,2878,2,Petrol,32998
 C Class,2019,Semi-Auto,4500,2,Petrol,32998
 C Class,2019,Semi-Auto,836,2,Petrol,29998
 C Class,2017,Semi-Auto,14462,2.1,Diesel,23998
 C Class,2016,Semi-Auto,23429,2,Hybrid,20998
 C Class,2017,Automatic,20764,2.1,Diesel,16498
 C Class,2013,Semi-Auto,31706,2.1,Diesel,11998
 C Class,2015,Automatic,55000,2.1,Diesel,12495
 C Class,2019,Automatic,10059,1.5,Petrol,19298
 C Class,2019,Semi-Auto,10357,2,Diesel,23998
 C Class,2015,Semi-Auto,50374,2.1,Diesel,12495
 C Class,2015,Semi-Auto,42471,2.1,Hybrid,17498
 C Class,2016,Manual,41974,2.1,Diesel,16198
 C Class,2017,Semi-Auto,20618,2.1,Diesel,18498
 C Class,2019,Semi-Auto,15536,1.5,Petrol,24998
 C Class,2019,Semi-Auto,16103,1.5,Petrol,24998
 C Class,2019,Semi-Auto,14576,1.5,Petrol,21998
 C Class,2018,Semi-Auto,6198,2,Diesel,29498
 C Class,2018,Semi-Auto,6265,2,Diesel,29498
 C Class,2016,Semi-Auto,21786,2.1,Diesel,16998
 C Class,2019,Semi-Auto,1558,1.5,Petrol,33998
 C Class,2019,Semi-Auto,2258,1.5,Petrol,32998
 C Class,2017,Semi-Auto,26866,2.1,Diesel,18998
 C Class,2019,Semi-Auto,1887,1.5,Petrol,32498
 C Class,2017,Semi-Auto,9676,2.1,Diesel,25798
 C Class,2018,Semi-Auto,7894,2.1,Diesel,20498
 C Class,2017,Semi-Auto,26179,2.1,Diesel,18498
 C Class,2016,Manual,21945,2,Petrol,14498
 C Class,2019,Semi-Auto,2195,2,Diesel,29498
 C Class,2017,Semi-Auto,16291,2,Petrol,17998
 C Class,2015,Manual,38438,2.1,Diesel,13498
 C Class,2016,Automatic,25107,2,Hybrid,19698
 C Class,2017,Semi-Auto,20491,2.1,Hybrid,22498
 C Class,2015,Manual,52792,1.6,Diesel,11998
 C Class,2013,Semi-Auto,30035,1.6,Petrol,11998
 C Class,2020,Semi-Auto,3620,2,Hybrid,39998
 C Class,2019,Semi-Auto,19204,2,Diesel,23498
 C Class,2019,Semi-Auto,10,4,Petrol,57998
 C Class,2015,Semi-Auto,46155,2.1,Diesel,16315
 C Class,2016,Semi-Auto,49494,2.1,Diesel,13991
 C Class,2016,Semi-Auto,43014,2.1,Diesel,16998
 C Class,2017,Semi-Auto,29283,2.1,Diesel,16498
 C Class,2016,Semi-Auto,38830,2.1,Diesel,16998
 C Class,2016,Manual,49761,2.1,Diesel,13690
 C Class,2014,Semi-Auto,31801,2.1,Diesel,14490
 C Class,2017,Semi-Auto,22349,2,Petrol,17998
 C Class,2019,Semi-Auto,8520,2,Diesel,29998
 C Class,2017,Semi-Auto,27493,2.1,Hybrid,18998
 C Class,2018,Semi-Auto,15075,2,Petrol,18998
 C Class,2019,Semi-Auto,5116,2,Diesel,28998
 C Class,2019,Semi-Auto,15009,1.5,Petrol,24998
 C Class,2018,Semi-Auto,6787,2,Diesel,27998
 C Class,2015,Semi-Auto,32409,2.1,Diesel,16798
 C Class,2017,Semi-Auto,23690,2.1,Diesel,19998
 C Class,2020,Semi-Auto,101,2,Diesel,29950
 C Class,2017,Semi-Auto,22485,2.1,Hybrid,20790
 C Class,2013,Semi-Auto,41921,1.6,Petrol,9490
 C Class,2017,Semi-Auto,35488,2.1,Diesel,15690
 C Class,2017,Manual,41647,2.1,Diesel,14990
 C Class,2015,Semi-Auto,24923,2.1,Diesel,17290
 C Class,2018,Semi-Auto,11810,2.1,Diesel,19490
